iter	MultiClass
0	2.278305424
1	2.268704653
2	2.26863447
3	2.268634444
4	2.240468579
5	2.215428305
6	2.199941079
7	2.166609485
8	2.144713772
9	2.132370708
10	2.122169716
11	2.093262768
12	2.08155978
13	2.061867468
14	2.055359288
15	2.03476677
16	2.028931309
17	2.009246371
18	2.009245936
19	1.997999526
20	1.992552827
21	1.982144345
22	1.974532801
23	1.961881103
24	1.956374856
25	1.944086208
26	1.93017651
27	1.914662507
28	1.901846952
29	1.897375225
30	1.880272798
31	1.871709577
32	1.866955291
33	1.862664934
34	1.858236598
35	1.850227317
36	1.84633432
37	1.835540661
38	1.825078824
39	1.815466558
40	1.811602076
41	1.802999724
42	1.796392074
43	1.793229747
44	1.77928909
45	1.773535431
46	1.765517428
47	1.746980358
48	1.738883574
49	1.716467046
50	1.703730672
51	1.70373021
52	1.697771343
53	1.691633148
54	1.690916022
55	1.684311589
56	1.669598269
57	1.666398559
58	1.66639821
59	1.663898572
60	1.650584509
61	1.635581804
62	1.629100395
63	1.622798834
64	1.620281068
65	1.618250804
66	1.618192925
67	1.607445395
68	1.600818011
69	1.586415211
70	1.580260484
71	1.569913407
72	1.565160123
73	1.561579462
74	1.55450992
75	1.547891342
76	1.544765089
77	1.542222052
78	1.534626134
79	1.526192955
80	1.51504746
81	1.50986948
82	1.504533107
83	1.504532884
84	1.502787367
85	1.502787158
86	1.498484043
87	1.498483839
88	1.494946354
89	1.492428805
90	1.489001826
91	1.47399672
92	1.468947542
93	1.468947362
94	1.464443284
95	1.452476234
96	1.449120029
97	1.44817961
98	1.443576038
99	1.431252985
100	1.421108956
101	1.417763043
102	1.412410868
103	1.399924178
104	1.398477745
105	1.394639999
106	1.386655316
107	1.385579041
108	1.383172091
109	1.37209859
110	1.370361504
111	1.365898426
112	1.362424429
113	1.359067182
114	1.352044335
115	1.350584017
116	1.345024787
117	1.341774612
118	1.334781406
119	1.330562059
120	1.326158634
121	1.31800754
122	1.317414659
123	1.314289463
124	1.314289304
125	1.310882516
126	1.308186986
127	1.300719816
128	1.290004399
129	1.28647679
130	1.286476618
131	1.280852001
132	1.278061584
