iter	Passed	Remaining
0	357	178320
1	633	157786
2	738	122347
3	785	97410
4	1271	125909
5	1648	135708
6	1734	122191
7	2161	132925
8	2308	125914
9	2404	117818
10	2634	117136
11	3011	122451
12	3454	129398
13	3706	128677
14	3871	125185
15	4135	125085
16	4308	122410
17	4782	128072
18	4827	122208
19	5375	129008
20	5462	124601
21	5805	126136
22	6025	124961
23	6414	127217
24	6516	123814
25	6915	126067
26	7260	127189
27	7427	125212
28	7960	129292
29	8202	128502
30	8552	129391
31	8698	127220
32	8970	126946
33	9058	124150
34	9157	121662
35	9250	119225
36	9336	116831
37	9603	116762
38	10075	119096
39	10583	121710
40	10832	121273
41	11003	119995
42	11529	122532
43	11650	120743
44	11886	120180
45	12321	121610
46	12411	119628
47	12559	118265
48	13024	119880
49	13467	121204
50	13929	122631
51	13969	120354
52	14418	121602
53	14581	120435
54	14686	118823
55	14858	117803
56	15278	118744
57	15433	117617
58	15470	115634
59	15555	114073
60	15857	114122
61	16187	114358
62	16543	114755
63	16976	115651
64	17137	114686
65	17223	113259
66	17377	112303
67	17796	113060
68	18191	113628
69	18685	114785
70	19182	115904
71	19631	116698
72	19873	116248
73	20407	117479
74	20816	117959
75	20916	116694
76	21166	116277
77	21405	115810
78	21960	117032
79	22317	117165
80	22557	116686
81	22719	115813
82	22907	115091
83	22962	113720
84	23206	113303
85	23247	111913
86	23753	112761
87	23790	111383
88	24178	111657
89	24385	111089
90	24622	110665
91	24830	110117
92	24984	109342
93	25023	108081
94	25297	107847
95	25753	108380
96	25998	108012
97	26086	107006
98	26390	106895
99	26670	106680
100	26811	105917
101	26971	105243
102	27452	105812
103	27907	106261
104	28162	105945
105	28616	106368
106	29062	106742
107	29305	106366
108	29465	105698
109	29875	105923
110	30025	105223
111	30477	105582
112	30834	105602
113	30928	104722
114	31394	105103
115	31862	105474
116	32324	105814
117	32435	105003
118	32862	105215
119	33238	105255
120	33734	105663
121	34180	105904
122	34349	105282
123	34615	104963
124	34655	103965
125	35077	104120
126	35574	104483
127	36004	104637
128	36388	104651
129	36834	104836
130	36873	103863
131	37091	103407
132	37588	103722
133	37990	103766
134	38473	104021
135	38943	104230
136	39450	104530
137	39606	103894
138	39713	103141
139	39963	102762
140	40202	102359
141	40254	101487
142	40312	100640
143	40834	100953
144	41329	101186
145	41795	101340
146	42271	101509
147	42833	101874
148	43304	102012
149	43396	101259
150	43588	100745
151	43679	100002
152	43922	99615
153	44230	99375
154	44627	99331
155	44718	98610
156	44952	98209
157	45120	97666
158	45573	97739
159	46064	97886
160	46156	97186
161	46443	96900
162	46485	96107
163	46987	96267
164	47416	96268
165	47739	96054
166	48217	96145
167	48578	96000
168	48763	95506
169	48859	94845
170	49325	94901
171	49515	94424
172	49755	94046
173	50157	93972
174	50562	93901
175	50938	93772
176	51111	93271
177	51434	93044
178	51907	93085
179	51948	92353
180	52047	91730
181	52539	91798
182	53011	91827
183	53515	91907
184	53974	91902
185	54067	91275
186	54245	90796
187	54348	90195
188	54518	89710
189	54609	89099
190	55068	89090
191	55170	88503
192	55670	88553
193	55769	87965
194	55930	87480
195	56376	87441
196	56557	86989
197	56801	86637
198	57080	86338
199	57129	85693
200	57229	85132
201	57404	84686
202	57841	84625
203	58013	84176
204	58449	84109
205	58628	83673
206	59160	83738
207	59202	83111
208	59656	83062
209	59899	82718
210	60101	82318
211	60626	82360
212	60732	81832
213	61016	81545
214	61064	80946
215	61253	80536
216	61694	80458
217	61982	80178
218	62511	80209
219	63075	80278
220	63222	79815
221	63769	79854
222	64247	79804
223	64285	79209
224	64381	78687
225	64545	78254
226	64719	77833
227	64757	77254
228	64858	76754
229	65003	76308
230	65176	75897
231	65268	75396
232	65617	75192
233	65662	74641
234	65819	74222
235	66064	73902
236	66582	73886
237	67030	73789
238	67381	73583
239	67886	73543
240	68031	73112
241	68461	72987
242	68908	72878
243	68946	72337
244	69279	72107
245	69749	72017
246	70117	71820
247	70351	71485
248	70771	71340
249	71241	71241
250	71720	71149
251	71891	70750
252	72349	70633
253	72821	70527
254	73303	70428
255	73570	70122
256	73962	69933
257	74067	69473
258	74158	69005
259	74610	68871
260	74902	68588
261	75357	68454
262	75758	68269
263	75923	67871
264	76369	67723
265	76843	67598
266	77336	67488
267	77714	67274
268	78078	67049
269	78181	66598
270	78597	66416
271	78689	65960
272	78934	65634
273	78973	65138
274	79420	64980
275	79675	64664
276	79714	64174
277	79755	63689
278	79793	63205
279	80249	63053
280	80763	62943
281	81198	62770
282	81238	62292
283	81773	62194
284	81815	61720
285	82223	61523
286	82462	61200
287	82933	61048
288	83405	60894
289	83976	60810
290	84529	60710
291	84643	60294
292	84754	59877
293	85012	59566
294	86373	60022
295	87412	60243
296	87661	59917
297	89018	60341
298	90469	60817
299	90929	60619
300	91944	60787
301	93030	60993
302	93299	60660
303	93748	60443
304	95172	60848
305	95291	60413
306	96486	60657
307	97486	60770
308	98171	60682
309	99376	60907
310	99638	60552
311	100742	60703
312	100849	60251
313	101878	60348
314	102501	60199
315	103566	60304
316	103801	59923
